"","Family","Species","Trait","Value","Source","Trait_original"
"125","Scincidae","Chalcides chalcides","BodyMass_max_g","33.884415609999998","RepT","Maximum body mass (g)"
"126","Scincidae","Chalcides chalcides","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"127","Scincidae","Chalcides chalcides","Clutch_mean","7.4","RepT","Mean number of offspring per litter or number of eggs per clutch"
"128","Scincidae","Chalcides chalcides","Diet","Carnivorous","RepT","Diet"
"129","Scincidae","Chalcides chalcides","First_breeding_m","21","SqB","first_breeding_months"
"130","Scincidae","Chalcides chalcides","Limbs","reduced","SqB","Limbs"
"131","Scincidae","Chalcides chalcides","Longevity_y","4","RepT","Maximum Longevity (years)"
"132","Scincidae","Chalcides chalcides","SVL_mm_max","210","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"133","Scincidae","Chalcides chalcides","Substrate","Fossorial/Terrestrial","RepT","Microhabitat"
"134","Scincidae","Chalcides ocellatus","Active_period","Cathemeral","RepT","Active time"
"135","Scincidae","Chalcides ocellatus","Activity_season_m","9.5","SqB","Length_Activity_Season"
"136","Scincidae","Chalcides ocellatus","BodyMass_max_g","97.723722100000003","RepT","Maximum body mass (g)"
"137","Scincidae","Chalcides ocellatus","BodyTemp_mean","32.25","RepT","Mean Tb"
"138","Scincidae","Chalcides ocellatus","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"139","Scincidae","Chalcides ocellatus","Clutch_mean","6.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"140","Scincidae","Chalcides ocellatus","Diet","Carnivorous","RepT","Diet"
"141","Scincidae","Chalcides ocellatus","First_breeding_m","28","SqB","first_breeding_months"
"142","Scincidae","Chalcides ocellatus","Limbs","4 well developed limbs","SqB","Limbs"
"143","Scincidae","Chalcides ocellatus","Longevity_y","14","RepT","Maximum Longevity (years)"
"144","Scincidae","Chalcides ocellatus","SVL_mm_max","159.80000000000001","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"145","Scincidae","Chalcides ocellatus","Substrate","Cryptic","RepT","Microhabitat"
"146","Scincidae","Chalcides striatus","Active_period","Diurnal","RepT","Active time"
"147","Scincidae","Chalcides striatus","Activity_season_m","6","SqB","Length_Activity_Season"
"148","Scincidae","Chalcides striatus","BodyMass_max_g","33.884415609999998","RepT","Maximum body mass (g)"
"149","Scincidae","Chalcides striatus","Brood_per_year","1.2","AMN","litters_or_clutches_per_y"
"150","Scincidae","Chalcides striatus","Clutch_mean","7","RepT","Mean number of offspring per litter or number of eggs per clutch"
"151","Scincidae","Chalcides striatus","Diet","Carnivorous","RepT","Diet"
"152","Scincidae","Chalcides striatus","First_breeding_m","36","SqB","first_breeding_months"
"153","Scincidae","Chalcides striatus","Limbs","reduced","SqB","Limbs"
"154","Scincidae","Chalcides striatus","Longevity_y","14","AMN","maximum_longevity_y"
"155","Scincidae","Chalcides striatus","SVL_mm_max","210","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"156","Scincidae","Chalcides striatus","Substrate","Terrestrial","RepT","Microhabitat"
"157","Chamaeleonidae","Chamaeleo chamaeleon","Active_period","Diurnal","RepT","Active time"
"158","Chamaeleonidae","Chamaeleo chamaeleon","Activity_season_m","9","SqB","Length_Activity_Season"
"159","Chamaeleonidae","Chamaeleo chamaeleon","BodyMass_max_g","95.499258600000005","RepT","Maximum body mass (g)"
"160","Chamaeleonidae","Chamaeleo chamaeleon","BodyTemp_mean","28.5","RepT","Mean Tb"
"161","Chamaeleonidae","Chamaeleo chamaeleon","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"162","Chamaeleonidae","Chamaeleo chamaeleon","Clutch_mean","23.65","RepT","Mean number of offspring per litter or number of eggs per clutch"
"163","Chamaeleonidae","Chamaeleo chamaeleon","Diet","Omnivorous","RepT","Diet"
"164","Chamaeleonidae","Chamaeleo chamaeleon","First_breeding_m","15.5","SqB","first_breeding_months"
"165","Chamaeleonidae","Chamaeleo chamaeleon","Limbs","4 well developed limbs","SqB","Limbs"
"166","Chamaeleonidae","Chamaeleo chamaeleon","Longevity_y","6","RepT","Maximum Longevity (years)"
"167","Chamaeleonidae","Chamaeleo chamaeleon","SVL_mm_max","170","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"168","Chamaeleonidae","Chamaeleo chamaeleon","Substrate","Arboreal","RepT","Microhabitat"
"169","Colubridae","Coronella austriaca","Active_period","Cathemeral","RepT","Active time"
"170","Colubridae","Coronella austriaca","Activity_season_m","6","SqB","Length_Activity_Season"
"171","Colubridae","Coronella austriaca","BodyMass_max_g","66.518964049999994","RepT","Maximum body mass (g)"
"172","Colubridae","Coronella austriaca","Brood_per_year","0.41499999999999998","RepT","Number of litters or clutches produced per year"
"173","Colubridae","Coronella austriaca","Clutch_mean","9","RepT","Mean number of offspring per litter or number of eggs per clutch"
"174","Colubridae","Coronella austriaca","Diet","Carnivorous","SqB","Diet"
"175","Colubridae","Coronella austriaca","First_breeding_m","48.6986666666667","AMN","female_maturity_m"
"176","Colubridae","Coronella austriaca","Limbs","limbless","SqB","Limbs"
"177","Colubridae","Coronella austriaca","Longevity_y","17","RepT","Maximum Longevity (years)"
"178","Colubridae","Coronella austriaca","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"179","Colubridae","Coronella girondica","Active_period","Nocturnal","RepT","Active time"
"180","Colubridae","Coronella girondica","BodyMass_max_g","66.518964049999994","RepT","Maximum body mass (g)"
"181","Colubridae","Coronella girondica","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"182","Colubridae","Coronella girondica","Clutch_mean","11","RepT","Mean number of offspring per litter or number of eggs per clutch"
"183","Colubridae","Coronella girondica","Diet","Carnivorous","SqB","Diet"
"184","Colubridae","Coronella girondica","First_breeding_m","42","SqB","first_breeding_months"
"185","Colubridae","Coronella girondica","Limbs","limbless","SqB","Limbs"
"186","Colubridae","Coronella girondica","Longevity_y","16","RepT","Maximum Longevity (years)"
"187","Colubridae","Coronella girondica","SVL_mm_max","680","SqB","maximum SVL (mm)"
"188","Colubridae","Coronella girondica","Substrate","Terrestrial","RepT","Microhabitat"
"189","Lacertidae","Dalmatolacerta oxycephala","Active_period","Diurnal","RepT","Active time"
"190","Lacertidae","Dalmatolacerta oxycephala","Activity_season_m","10.5","SqB","Length_Activity_Season"
"191","Lacertidae","Dalmatolacerta oxycephala","BodyMass_max_g","8.1283051620000002","RepT","Maximum body mass (g)"
"192","Lacertidae","Dalmatolacerta oxycephala","BodyTemp_mean","33.1","RepT","Mean Tb"
"193","Lacertidae","Dalmatolacerta oxycephala","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"194","Lacertidae","Dalmatolacerta oxycephala","Clutch_mean","3.4","RepT","Mean number of offspring per litter or number of eggs per clutch"
"195","Lacertidae","Dalmatolacerta oxycephala","Diet","Carnivorous","RepT","Diet"
"196","Lacertidae","Dalmatolacerta oxycephala","Limbs","4 well developed limbs","SqB","Limbs"
"197","Lacertidae","Dalmatolacerta oxycephala","Longevity_y","3.9","RepT","Maximum Longevity (years)"
"198","Lacertidae","Dalmatolacerta oxycephala","SVL_mm_max","70.599999999999994","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"199","Lacertidae","Dalmatolacerta oxycephala","Substrate","Saxicolous","RepT","Microhabitat"
"200","Lacertidae","Dinarolacerta montenegrina","Active_period","Diurnal","RepT","Active time"
"201","Lacertidae","Dinarolacerta montenegrina","BodyMass_max_g","6.4565422899999998","RepT","Maximum body mass (g)"
"202","Lacertidae","Dinarolacerta montenegrina","Diet","Carnivorous","RepT","Diet"
"203","Lacertidae","Dinarolacerta montenegrina","Limbs","4 well developed limbs","SqB","Limbs"
"204","Lacertidae","Dinarolacerta montenegrina","SVL_mm_max","65","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"205","Lacertidae","Dinarolacerta montenegrina","Substrate","Saxicolous","RepT","Microhabitat"
"206","Lacertidae","Dinarolacerta mosorensis","Active_period","Diurnal","RepT","Active time"
"207","Lacertidae","Dinarolacerta mosorensis","BodyMass_max_g","11.748975550000001","RepT","Maximum body mass (g)"
"208","Lacertidae","Dinarolacerta mosorensis","BodyTemp_mean","34","RepT","Mean Tb"
"209","Lacertidae","Dinarolacerta mosorensis","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"210","Lacertidae","Dinarolacerta mosorensis","Clutch_mean","4.75","RepT","Mean number of offspring per litter or number of eggs per clutch"
"211","Lacertidae","Dinarolacerta mosorensis","Diet","Carnivorous","RepT","Diet"
"212","Lacertidae","Dinarolacerta mosorensis","First_breeding_m","42","SqB","first_breeding_months"
"213","Lacertidae","Dinarolacerta mosorensis","Limbs","4 well developed limbs","SqB","Limbs"
"214","Lacertidae","Dinarolacerta mosorensis","Longevity_y","9","RepT","Maximum Longevity (years)"
"215","Lacertidae","Dinarolacerta mosorensis","SVL_mm_max","80","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"216","Lacertidae","Dinarolacerta mosorensis","Substrate","Saxicolous","RepT","Microhabitat"
"217","Colubridae","Dolichophis caspius","Active_period","Diurnal","SqB","Activity time"
"218","Colubridae","Dolichophis caspius","BodyMass_max_g","1200.5207809999999","RepT","Maximum body mass (g)"
"219","Colubridae","Dolichophis caspius","Clutch_mean","10","RepT","Mean number of offspring per litter or number of eggs per clutch"
"220","Colubridae","Dolichophis caspius","Diet","Carnivorous","SqB","Diet"
"221","Colubridae","Dolichophis caspius","First_breeding_m","36","SqB","first_breeding_months"
"222","Colubridae","Dolichophis caspius","Limbs","limbless","SqB","Limbs"
"223","Colubridae","Dolichophis caspius","Longevity_y","10","SqB","Maximum Longevity (years)"
"224","Colubridae","Dolichophis caspius","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"225","Colubridae","Dolichophis jugularis","Active_period","Diurnal","RepT","Active time"
"226","Colubridae","Dolichophis jugularis","BodyMass_max_g","1200.5207809999999","RepT","Maximum body mass (g)"
"227","Colubridae","Dolichophis jugularis","Clutch_mean","10","RepT","Mean number of offspring per litter or number of eggs per clutch"
"228","Colubridae","Dolichophis jugularis","Diet","Carnivorous","SqB","Diet"
"229","Colubridae","Dolichophis jugularis","Limbs","limbless","SqB","Limbs"
"230","Colubridae","Dolichophis jugularis","Longevity_y","10.3","RepT","Maximum Longevity (years)"
"231","Colubridae","Dolichophis jugularis","SVL_mm_max","1220.4000000000001","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"232","Colubridae","Dolichophis jugularis","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"233","Colubridae","Elaphe quatuorlineata","Active_period","Diurnal","RepT","Active time"
"234","Colubridae","Elaphe quatuorlineata","BodyMass_max_g","681.26355899999999","RepT","Maximum body mass (g)"
"235","Colubridae","Elaphe quatuorlineata","Brood_per_year","0.89","SqB","Yearly_broods"
"236","Colubridae","Elaphe quatuorlineata","Clutch_mean","10.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"237","Colubridae","Elaphe quatuorlineata","Diet","Carnivorous","RepT","Diet"
"238","Colubridae","Elaphe quatuorlineata","Limbs","limbless","SqB","Limbs"
"239","Colubridae","Elaphe quatuorlineata","Longevity_y","5.2","RepT","Maximum Longevity (years)"
"240","Colubridae","Elaphe quatuorlineata","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"241","Colubridae","Elaphe sauromates","Active_period","Diurnal","RepT","Active time"
"242","Colubridae","Elaphe sauromates","BodyMass_max_g","681.26355899999999","RepT","Maximum body mass (g)"
"243","Colubridae","Elaphe sauromates","Clutch_mean","11","RepT","Mean number of offspring per litter or number of eggs per clutch"
"244","Colubridae","Elaphe sauromates","Diet","Carnivorous","RepT","Diet"
"245","Colubridae","Elaphe sauromates","Limbs","limbless","SqB","Limbs"
