"","Family","Species","Trait","Value","Source","Trait_original"
"848","Testudinidae","Testudo hermanni","SVL_mm_max","280","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"849","Testudinidae","Testudo hermanni","Substrate","Terrestrial","RepT","Microhabitat"
"850","Testudinidae","Testudo marginata","Active_period","Diurnal","RepT","Active time"
"851","Testudinidae","Testudo marginata","BodyMass_max_g","10956","RepT","Maximum body mass (g)"
"852","Testudinidae","Testudo marginata","Brood_per_year","2.399096386","AMN","litters_or_clutches_per_y"
"853","Testudinidae","Testudo marginata","Clutch_mean","6.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"854","Testudinidae","Testudo marginata","Diet","Herbivorous","RepT","Diet"
"855","Testudinidae","Testudo marginata","Longevity_y","100","RepT","Maximum Longevity (years)"
"856","Testudinidae","Testudo marginata","SVL_mm_max","350","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"857","Testudinidae","Testudo marginata","Substrate","Terrestrial","RepT","Microhabitat"
"858","Lacertidae","Timon lepidus","Active_period","Diurnal","RepT","Active time"
"859","Lacertidae","Timon lepidus","Activity_season_m","6.5","SqB","Length_Activity_Season"
"860","Lacertidae","Timon lepidus","BodyMass_max_g","380.1893963","RepT","Maximum body mass (g)"
"861","Lacertidae","Timon lepidus","BodyTemp_mean","30.4","RepT","Mean Tb"
"862","Lacertidae","Timon lepidus","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"863","Lacertidae","Timon lepidus","Clutch_mean","13.7","RepT","Mean number of offspring per litter or number of eggs per clutch"
"864","Lacertidae","Timon lepidus","Diet","Omnivorous","RepT","Diet"
"865","Lacertidae","Timon lepidus","First_breeding_m","36.5056666666667","AMN","female_maturity_m"
"866","Lacertidae","Timon lepidus","Limbs","4 well developed limbs","SqB","Limbs"
"867","Lacertidae","Timon lepidus","Longevity_y","35","RepT","Maximum Longevity (years)"
"868","Lacertidae","Timon lepidus","SVL_mm_max","260","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"869","Lacertidae","Timon lepidus","Substrate","Arboreal/Saxicolous/Terrestrial","RepT","Microhabitat"
"870","Viperidae","Vipera ammodytes","Active_period","Cathemeral","RepT","Active time"
"871","Viperidae","Vipera ammodytes","Activity_season_m","7.75","SqB","Length_Activity_Season"
"872","Viperidae","Vipera ammodytes","BodyMass_max_g","687.78547509999999","RepT","Maximum body mass (g)"
"873","Viperidae","Vipera ammodytes","BodyTemp_mean","25.85","SqB","Averge_body_temperature"
"874","Viperidae","Vipera ammodytes","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"875","Viperidae","Vipera ammodytes","Clutch_mean","7.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"876","Viperidae","Vipera ammodytes","Diet","Carnivorous","SqB","Diet"
"877","Viperidae","Vipera ammodytes","First_breeding_m","48.6666666666667","AMN","female_maturity_m"
"878","Viperidae","Vipera ammodytes","Limbs","limbless","SqB","Limbs"
"879","Viperidae","Vipera ammodytes","Longevity_y","30","RepT","Maximum Longevity (years)"
"880","Viperidae","Vipera ammodytes","SVL_mm_max","611","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"881","Viperidae","Vipera ammodytes","Substrate","Terrestrial","RepT","Microhabitat"
"882","Viperidae","Vipera aspis","Active_period","Cathemeral","RepT","Active time"
"883","Viperidae","Vipera aspis","BodyMass_max_g","324.79474950000002","RepT","Maximum body mass (g)"
"884","Viperidae","Vipera aspis","Brood_per_year","0.66700000000000004","RepT","Number of litters or clutches produced per year"
"885","Viperidae","Vipera aspis","Clutch_mean","7","RepT","Mean number of offspring per litter or number of eggs per clutch"
"886","Viperidae","Vipera aspis","Diet","Carnivorous","SqB","Diet"
"887","Viperidae","Vipera aspis","First_breeding_m","48.6666666666667","AMN","female_maturity_m"
"888","Viperidae","Vipera aspis","Limbs","limbless","SqB","Limbs"
"889","Viperidae","Vipera aspis","Longevity_y","25","RepT","Maximum Longevity (years)"
"890","Viperidae","Vipera aspis","SVL_mm_max","517","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"891","Viperidae","Vipera aspis","Substrate","Terrestrial","RepT","Microhabitat"
"892","Viperidae","Vipera berus","Active_period","Cathemeral","RepT","Active time"
"893","Viperidae","Vipera berus","Activity_season_m","6","SqB","Length_Activity_Season"
"894","Viperidae","Vipera berus","BodyMass_max_g","227.40185339999999","RepT","Maximum body mass (g)"
"895","Viperidae","Vipera berus","BodyTemp_mean","32","SqB","Averge_body_temperature"
"896","Viperidae","Vipera berus","Brood_per_year","0.5","RepT","Number of litters or clutches produced per year"
"897","Viperidae","Vipera berus","Clutch_mean","8.8000000000000007","RepT","Mean number of offspring per litter or number of eggs per clutch"
"898","Viperidae","Vipera berus","Diet","Carnivorous","RepT","Diet"
"899","Viperidae","Vipera berus","First_breeding_m","36","SqB","first_breeding_months"
"900","Viperidae","Vipera berus","Limbs","limbless","SqB","Limbs"
"901","Viperidae","Vipera berus","Longevity_y","25","RepT","Maximum Longevity (years)"
"902","Viperidae","Vipera berus","SVL_mm_max","590","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"903","Viperidae","Vipera berus","Substrate","Terrestrial","RepT","Microhabitat"
"904","Viperidae","Vipera latastei","Active_period","Cathemeral","RepT","Active time"
"905","Viperidae","Vipera latastei","BodyMass_max_g","200.37244609999999","RepT","Maximum body mass (g)"
"906","Viperidae","Vipera latastei","Brood_per_year","0.75","RepT","Number of litters or clutches produced per year"
"907","Viperidae","Vipera latastei","Clutch_mean","8","RepT","Mean number of offspring per litter or number of eggs per clutch"
"908","Viperidae","Vipera latastei","Diet","*Carnivorous","SqB","Diet"
"909","Viperidae","Vipera latastei","Limbs","limbless","SqB","Limbs"
"910","Viperidae","Vipera latastei","Longevity_y","14","RepT","Maximum Longevity (years)"
"911","Viperidae","Vipera latastei","Substrate","Terrestrial","RepT","Microhabitat"
"912","Viperidae","Vipera seoanei","Active_period","Diurnal","SqB","Activity time"
"913","Viperidae","Vipera seoanei","Activity_season_m","9","SqB","Length_Activity_Season"
"914","Viperidae","Vipera seoanei","BodyMass_max_g","184.6014041","RepT","Maximum body mass (g)"
"915","Viperidae","Vipera seoanei","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"916","Viperidae","Vipera seoanei","Clutch_mean","10","RepT","Mean number of offspring per litter or number of eggs per clutch"
"917","Viperidae","Vipera seoanei","Diet","Carnivorous","SqB","Diet"
"918","Viperidae","Vipera seoanei","Limbs","limbless","SqB","Limbs"
"919","Viperidae","Vipera seoanei","Longevity_y","19","RepT","Maximum Longevity (years)"
"920","Viperidae","Vipera seoanei","SVL_mm_max","535","SqB","maximum SVL (mm)"
"921","Viperidae","Vipera seoanei","Substrate","Terrestrial","RepT","Microhabitat"
"922","Viperidae","Vipera ursinii","Active_period","Diurnal","SqB","Activity time"
"923","Viperidae","Vipera ursinii","BodyMass_max_g","117.874537","RepT","Maximum body mass (g)"
"924","Viperidae","Vipera ursinii","Clutch_mean","10","RepT","Mean number of offspring per litter or number of eggs per clutch"
"925","Viperidae","Vipera ursinii","Diet","*Carnivorous","SqB","Diet"
"926","Viperidae","Vipera ursinii","Limbs","limbless","SqB","Limbs"
"927","Viperidae","Vipera ursinii","Longevity_y","19","RepT","Maximum Longevity (years)"
"928","Viperidae","Vipera ursinii","Substrate","Terrestrial","RepT","Microhabitat"
"929","Typhlopidae","Xerotyphlops vermicularis","Active_period","Nocturnal","RepT","Active time"
"930","Typhlopidae","Xerotyphlops vermicularis","Activity_season_m","7.5","SqB","Length_Activity_Season"
"931","Typhlopidae","Xerotyphlops vermicularis","BodyMass_max_g","39.573822360000001","RepT","Maximum body mass (g)"
"932","Typhlopidae","Xerotyphlops vermicularis","Clutch_mean","5.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"933","Typhlopidae","Xerotyphlops vermicularis","Diet","Carnivorous","SqB","Diet"
"934","Typhlopidae","Xerotyphlops vermicularis","First_breeding_m","20","SqB","first_breeding_months"
"935","Typhlopidae","Xerotyphlops vermicularis","Limbs","limbless","SqB","Limbs"
"936","Typhlopidae","Xerotyphlops vermicularis","Longevity_y","6.2","RepT","Maximum Longevity (years)"
"937","Typhlopidae","Xerotyphlops vermicularis","Substrate","Fossorial","RepT","Microhabitat"
"938","Colubridae","Zamenis longissimus","Active_period","Diurnal","RepT","Active time"
"939","Colubridae","Zamenis longissimus","Activity_season_m","5.5","SqB","Length_Activity_Season"
"940","Colubridae","Zamenis longissimus","BodyMass_max_g","681.26330959999996","RepT","Maximum body mass (g)"
"941","Colubridae","Zamenis longissimus","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"942","Colubridae","Zamenis longissimus","Clutch_mean","15","RepT","Mean number of offspring per litter or number of eggs per clutch"
"943","Colubridae","Zamenis longissimus","Diet","Carnivorous","RepT","Diet"
"944","Colubridae","Zamenis longissimus","Limbs","limbless","SqB","Limbs"
"945","Colubridae","Zamenis longissimus","Longevity_y","30","RepT","Maximum Longevity (years)"
"946","Colubridae","Zamenis longissimus","SVL_mm_max","645","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"947","Colubridae","Zamenis longissimus","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"948","Colubridae","Zamenis situla","Active_period","Diurnal","SqB","Activity time"
"949","Colubridae","Zamenis situla","BodyMass_max_g","117.2195366","RepT","Maximum body mass (g)"
"950","Colubridae","Zamenis situla","Brood_per_year","0.5","RepT","Number of litters or clutches produced per year"
"951","Colubridae","Zamenis situla","Clutch_mean","5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"952","Colubridae","Zamenis situla","Diet","*Carnivorous","SqB","Diet"
"953","Colubridae","Zamenis situla","First_breeding_m","36","SqB","first_breeding_months"
"954","Colubridae","Zamenis situla","Limbs","limbless","SqB","Limbs"
"955","Colubridae","Zamenis situla","Longevity_y","23","RepT","Maximum Longevity (years)"
"956","Colubridae","Zamenis situla","Substrate","Terrestrial","RepT","Microhabitat"
"957","Lacertidae","Zootoca vivipara","Active_period","Diurnal","RepT","Active time"
"958","Lacertidae","Zootoca vivipara","Activity_season_m","4.75","SqB","Length_Activity_Season"
"959","Lacertidae","Zootoca vivipara","BodyMass_max_g","10.71519305","RepT","Maximum body mass (g)"
"960","Lacertidae","Zootoca vivipara","BodyTemp_mean","30.5","RepT","Mean Tb"
"961","Lacertidae","Zootoca vivipara","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"962","Lacertidae","Zootoca vivipara","Clutch_mean","6.7","RepT","Mean number of offspring per litter or number of eggs per clutch"
"963","Lacertidae","Zootoca vivipara","Diet","Carnivorous","RepT","Diet"
"964","Lacertidae","Zootoca vivipara","First_breeding_m","34.4873333333333","AMN","female_maturity_m"
"965","Lacertidae","Zootoca vivipara","Limbs","4 well developed limbs","SqB","Limbs"
"966","Lacertidae","Zootoca vivipara","Longevity_y","12","RepT","Maximum Longevity (years)"
"967","Lacertidae","Zootoca vivipara","SVL_mm_max","77","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"968","Lacertidae","Zootoca vivipara","Substrate","Terrestrial","RepT","Microhabitat"
